model,num_images,total_matches,avg_matches_per_image,mean_loc_error_xy,median_loc_error_xy,mean_loc_error_xyz,median_loc_error_xyz,mean_yolo_time_sec,mean_midas_time_sec,mean_total_time_sec,fps_pipeline,scene_index
YOLO26n,39,73,1.8717948717948718,15.063604490581504,7.670171139850164,15.082868977288145,7.6775756677646765,0.013975499999595251,0.03231154102561563,0.046287041025210876,21.604319002706095,0
YOLO26s,39,97,2.4871794871794872,17.254384957571908,8.313541635264947,17.280045509119983,8.315141937821005,0.014678128205373352,0.02855498717988853,0.04323311538526188,23.130417299071137,0
YOLO26n,40,293,7.325,23.49073702779193,20.306765062061693,23.5141070366305,20.30961026841752,0.012956949999625067,0.02822793750001438,0.041184887499639444,24.28075104026336,1
YOLO26s,40,347,8.675,23.313012430029033,18.539383986810183,23.336541516646392,18.54785405348273,0.015207537500009494,0.027308044999881532,0.04251558249989103,23.52078793704786,1
YOLO26n,41,140,3.4146341463414633,13.153271429295726,2.3583611307446453,13.172476739306646,2.3735118890442815,0.013156997560500025,0.027364253658494663,0.040521251218994685,24.67840873411237,2
YOLO26s,41,151,3.682926829268293,15.811476798946169,2.8975060237646164,15.832364736084475,2.9134875026255456,0.015032195121798063,0.027915524390154156,0.04294771951195222,23.284123379861953,2
YOLO26n,41,158,3.8536585365853657,16.19148371308698,16.42921859263676,16.2169762337399,16.435009285466805,0.013427360975872101,0.027041575609650974,0.04046893658552307,24.710310780880004,3
YOLO26s,41,175,4.2682926829268295,14.807173389627435,10.545965965605484,14.838387290396415,10.551091314115965,0.01496879268296009,0.02708416097563558,0.04205295365859567,23.779542529127415,3
YOLO26n,41,56,1.3658536585365855,1.382796426362967,0.2179382170428803,1.402521572643733,0.24860094254298976,0.012787234146277868,0.026755646341526454,0.03954288048780433,25.28900241115253,4
YOLO26s,41,56,1.3658536585365855,1.5493620274468143,0.21449538979180222,1.566036982307253,0.2469152459530734,0.0149871390247249,0.027128490244117197,0.042115629268842096,23.74415430472549,4
YOLO26n,40,72,1.8,16.45747205079864,7.278619668633825,16.488013406529745,7.284890917605596,0.01302632250035458,0.026945387500018115,0.039971710000372696,25.017693763681265,5
YOLO26s,40,102,2.55,19.1346000375818,12.393636016251882,19.163053262783666,12.393730661243278,0.014524782500029688,0.026744202499685343,0.04126898499971503,24.2312719832316,5
YOLO26n,41,216,5.2682926829268295,10.420095680934685,5.16450120980368,10.438711847883734,5.169043133571055,0.01248500243904035,0.027227921951324365,0.039712924390364716,25.18071925830331,6
YOLO26s,41,268,6.536585365853658,11.44467292621913,5.796003359220114,11.467571265455849,5.798122646304771,0.015735885366089726,0.026423892682764634,0.04215977804885436,23.71928995549287,6
YOLO26n,41,61,1.4878048780487805,11.924177163905567,0.1705194357780637,11.97500512141078,0.25271322342708424,0.013243146341066188,0.027135870731244058,0.040379017072310244,24.765337853796996,7
YOLO26s,41,119,2.902439024390244,24.630720564640534,15.87844223455479,24.652195558151423,15.896732471022803,0.015158465854034237,0.026648641463242067,0.041807107317276306,23.919377928038603,7
YOLO26n,40,89,2.225,10.376597985001679,5.59658640782202,10.440873799599666,5.7065945032497005,0.012778925000111485,0.027158309999776975,0.03993723499988846,25.039289775639023,8
YOLO26s,40,154,3.85,10.25617613856144,5.574244599389072,10.295670168961506,5.602020328213425,0.015568707500005986,0.027818780000143307,0.04338748750014929,23.048119575869865,8
YOLO26n,40,44,1.1,5.891837258059357,0.29896929094275987,5.9351446196245705,0.31292118357906606,0.012566115000208811,0.027275947499765606,0.03984206249997442,25.099102236502993,9
YOLO26s,40,51,1.275,8.45865573234415,1.1835885502810664,8.507633040824855,1.2552567878141632,0.015051407499504421,0.026850192500023694,0.04190159999952812,23.86543711961504,9
